"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US34005","Burlington County, New Jersey","24586","null","1480","null","57953","2232","null","null","88956","null","2411","null","132740","3892","null","null","270467","14198","null","null","459558","null","40546","null",
"0500000US34007","Camden County, New Jersey","15164","null","1550","null","42998","2466","null","null","74183","null","2936","null","116097","3499","null","null","255578","15408","null","null","459943","null","52458","null",
"0500000US34009","Cape May County, New Jersey","17966","null","2723","null","42552","4071","null","null","71742","null","5520","null","117159","9745","null","null","245545","20806","null","null","419915","null","57434","null",
"0500000US34011","Cumberland County, New Jersey","11949","null","1814","null","34557","3855","null","null","56660","null","4211","null","88963","6913","null","null","221977","69301","null","null","482182","null","264638","null",
"0500000US34013","Essex County, New Jersey","11760","null","920","null","36672","1892","null","null","65663","null","2508","null","112263","3301","null","null","307439","12993","null","null","585277","null","38638","null",
"0500000US34015","Gloucester County, New Jersey","19778","null","1546","null","53044","3446","null","null","88141","null","4332","null","132669","4799","null","null","246243","14493","null","null","387033","null","43906","null",
"0500000US34017","Hudson County, New Jersey","14081","null","1147","null","44149","1992","null","null","78054","null","2670","null","125830","4649","null","null","290787","14401","null","null","499648","null","42828","null",
"0500000US34019","Hunterdon County, New Jersey","29762","null","4351","null","71189","6818","null","null","115846","null","8122","null","176393","10843","null","null","378091","35012","null","null","662154","null","102328","null",
"0500000US34021","Mercer County, New Jersey","12663","null","1928","null","45635","3933","null","null","80872","null","4318","null","130938","5676","null","null","306478","19184","null","null","550764","null","58757","null",
"0500000US34023","Middlesex County, New Jersey","20684","null","1380","null","56517","2391","null","null","94236","null","3099","null","142263","3383","null","null","272118","8972","null","null","431841","null","25197","null",
"0500000US34025","Monmouth County, New Jersey","20665","null","1532","null","60962","2570","null","null","103773","null","3141","null","159693","4729","null","null","370047","19080","null","null","699641","null","65578","null",
"0500000US34027","Morris County, New Jersey","26955","null","2133","null","69632","3831","null","null","116519","null","4741","null","178764","6222","null","null","383077","18181","null","null","635695","null","48763","null",
"0500000US34029","Ocean County, New Jersey","19603","null","1157","null","47351","2038","null","null","76054","null","2599","null","114275","3598","null","null","231578","15214","null","null","393171","null","47235","null",
