"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US10001","Kent County, Delaware","13083","null","1678","null","32599","null","2435","null","54540","3991","null","null","84885","5318","null","null","163922","12473","null","null","265025","38475","null","null",
"0500000US10003","New Castle County, Delaware","14292","null","1358","null","41126","null","2240","null","70246","2526","null","null","106131","3060","null","null","229131","11942","null","null","403288","37723","null","null",
"0500000US10005","Sussex County, Delaware","15335","null","1278","null","37626","null","2601","null","60642","2777","null","null","90819","3819","null","null","194367","12122","null","null","334193","39003","null","null",
"0500000US11001","District of Columbia, District of Columbia","10777","null","1027","null","43913","null","2155","null","85640","2695","null","null","143022","3532","null","null","341376","11763","null","null","595669","36306","null","null",
"0500000US12001","Alachua County, Florida","7155","null","1442","null","27757","null","2442","null","51396","3353","null","null","84989","4613","null","null","201018","14812","null","null","358121","45544","null","null",
"0500000US12005","Bay County, Florida","13748","null","1641","null","35775","null","2343","null","53785","2946","null","null","80055","4632","null","null","166283","18931","null","null","295776","67782","null","null",
"0500000US12009","Brevard County, Florida","14167","null","1033","null","35551","null","1641","null","58421","2060","null","null","90267","3114","null","null","179616","7516","null","null","296448","23332","null","null",
"0500000US12011","Broward County, Florida","12987","null","670","null","35264","null","937","null","57771","1335","null","null","92541","1855","null","null","224059","9316","null","null","419394","34366","null","null",
"0500000US12015","Charlotte County, Florida","13734","null","1476","null","33966","null","2739","null","52808","2419","null","null","77030","4067","null","null","170393","15159","null","null","297002","41406","null","null",
"0500000US12017","Citrus County, Florida","9831","null","1464","null","25098","null","2331","null","40318","3055","null","null","59149","3849","null","null","150430","34366","null","null","301429","123246","null","null",
"0500000US12019","Clay County, Florida","16579","null","2277","null","39377","null","3789","null","62625","3903","null","null","91523","5221","null","null","181596","21661","null","null","311603","73356","null","null",
"0500000US12021","Collier County, Florida","17776","null","1891","null","42618","null","2493","null","69371","3551","null","null","112387","5422","null","null","318563","29309","null","null","663158","93458","null","null",
