"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0500000US25025","Suffolk County, Massachusetts","0.5241","null","0.0114","null",
"0500000US25027","Worcester County, Massachusetts","0.4554","null","0.0095","null",
"0500000US26005","Allegan County, Michigan","0.4040","null","0.0239","null",
"0500000US26017","Bay County, Michigan","0.4341","null","0.0334","null",
"0500000US26021","Berrien County, Michigan","0.4870","null","0.0253","null",
"0500000US26025","Calhoun County, Michigan","0.4321","null","0.0201","null",
"0500000US26037","Clinton County, Michigan","0.3999","null","0.0283","null",
"0500000US26045","Eaton County, Michigan","0.4216","null","0.0349","null",
"0500000US26049","Genesee County, Michigan","0.4699","null","0.0124","null",
"0500000US26055","Grand Traverse County, Michigan","0.4305","null","0.0339","null",
"0500000US26065","Ingham County, Michigan","0.4819","null","0.0197","null",
"0500000US26073","Isabella County, Michigan","0.4879","null","0.0342","null",
"0500000US26075","Jackson County, Michigan","0.4529","null","0.0328","null",
"0500000US26077","Kalamazoo County, Michigan","0.4563","null","0.0174","null",
"0500000US26081","Kent County, Michigan","0.4673","null","0.0186","null",
"0500000US26087","Lapeer County, Michigan","0.4475","null","0.0432","null",
"0500000US26091","Lenawee County, Michigan","0.4220","null","0.0237","null",
"0500000US26093","Livingston County, Michigan","0.3957","null","0.0153","null",
"0500000US26099","Macomb County, Michigan","0.4271","null","0.0094","null",
"0500000US26103","Marquette County, Michigan","0.4117","null","0.0299","null",
