"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US38101","Ward County, North Dakota","17375","2187","null","null","36237","null","3599","null","56878","5262","null","null","84822","5360","null","null","170611","23215","null","null","285688","61629","null","null",
"0500000US39003","Allen County, Ohio","9734","1724","null","null","26708","null","2090","null","43290","3095","null","null","69550","3859","null","null","131068","12867","null","null","219038","37156","null","null",
"0500000US39007","Ashtabula County, Ohio","8598","1433","null","null","24786","null","2094","null","40879","2475","null","null","61580","3415","null","null","105413","4671","null","null","145377","7920","null","null",
"0500000US39013","Belmont County, Ohio","11246","1546","null","null","24501","null","1987","null","38730","2970","null","null","62842","5933","null","null","130852","15256","null","null","217654","46245","null","null",
"0500000US39017","Butler County, Ohio","13580","1162","null","null","34935","null","1782","null","56462","2192","null","null","86356","3183","null","null","172345","7866","null","null","276666","23380","null","null",
"0500000US39023","Clark County, Ohio","9533","1495","null","null","25706","null","1916","null","43944","2499","null","null","69913","3542","null","null","150475","14185","null","null","266388","49181","null","null",
"0500000US39025","Clermont County, Ohio","15253","1339","null","null","37813","null","2666","null","61917","2938","null","null","90786","4080","null","null","175836","12417","null","null","285305","42769","null","null",
"0500000US39029","Columbiana County, Ohio","8823","1490","null","null","25096","null","2787","null","42546","3276","null","null","65331","3287","null","null","123333","14816","null","null","203566","51722","null","null",
"0500000US39035","Cuyahoga County, Ohio","8299","401","null","null","24659","null","755","null","43945","900","null","null","73758","1252","null","null","177061","6339","null","null","330363","21042","null","null",
"0500000US39041","Delaware County, Ohio","24721","2016","null","null","52230","null","2629","null","84575","4412","null","null","126716","5636","null","null","260254","18515","null","null","447267","53436","null","null",
"0500000US39043","Erie County, Ohio","11190","2213","null","null","29252","null","3045","null","45837","2794","null","null","69811","4596","null","null","131416","12292","null","null","205430","31693","null","null",
"0500000US39045","Fairfield County, Ohio","13546","1664","null","null","33963","null","2505","null","56692","3098","null","null","87451","3749","null","null","152478","9252","null","null","223325","23835","null","null",
"0500000US39049","Franklin County, Ohio","10976","604","null","null","30579","null","905","null","51375","1229","null","null","81106","1561","null","null","176724","6990","null","null","309006","25508","null","null",
"0500000US39055","Geauga County, Ohio","17465","2792","null","null","44288","null","3648","null","67668","5314","null","null","100004","5093","null","null","207012","22951","null","null","358032","72185","null","null",
"0500000US39057","Greene County, Ohio","13053","1899","null","null","36090","null","3352","null","60411","3766","null","null","92484","4784","null","null","185787","18543","null","null","293877","61329","null","null",
"0500000US39061","Hamilton County, Ohio","8601","596","null","null","26594","null","1033","null","47111","1325","null","null","77454","1805","null","null","193176","8226","null","null","369094","26436","null","null",
"0500000US39063","Hancock County, Ohio","10960","2099","null","null","27799","null","3029","null","46543","4906","null","null","75314","5145","null","null","157604","17500","null","null","257678","35399","null","null",
"0500000US39081","Jefferson County, Ohio","8612","1326","null","null","23003","null","2497","null","37259","2974","null","null","58450","4274","null","null","116412","11216","null","null","184345","33192","null","null",
