"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US41029","Jackson County, Oregon","13948","null","2175","null","38280","null","3171","null","63957","null","3981","null","94240","null","5713","null","191367","null","16818","null","323660","50338","null","null",
"0500000US41033","Josephine County, Oregon","12596","null","1806","null","29175","null","3149","null","48970","null","4346","null","78195","null","7132","null","177733","null","31303","null","300125","107132","null","null",
"0500000US41035","Klamath County, Oregon","10041","null","1872","null","29325","null","3970","null","47666","null","5584","null","79465","null","7413","null","180878","null","48256","null","346813","174190","null","null",
"0500000US41039","Lane County, Oregon","14606","null","1298","null","38482","null","1773","null","62541","null","2698","null","94928","null","2874","null","216354","null","17257","null","411682","55150","null","null",
"0500000US41043","Linn County, Oregon","16451","null","2469","null","39656","null","3429","null","64317","null","4786","null","96473","null","5715","null","171471","null","15129","null","271696","44424","null","null",
"0500000US41047","Marion County, Oregon","16284","null","1941","null","41217","null","2534","null","64946","null","3119","null","97568","null","4400","null","199607","null","17412","null","341748","52727","null","null",
"0500000US41051","Multnomah County, Oregon","15636","null","1045","null","46342","null","1792","null","77919","null","2217","null","121601","null","3260","null","264802","null","9532","null","455665","25703","null","null",
"0500000US41053","Polk County, Oregon","16962","null","3182","null","44692","null","4115","null","73281","null","7253","null","120438","null","10746","null","245536","null","37225","null","443267","108459","null","null",
"0500000US41059","Umatilla County, Oregon","15612","null","3583","null","39478","null","4627","null","59681","null","5164","null","88148","null","6600","null","158861","null","12591","null","228790","24579","null","null",
"0500000US41067","Washington County, Oregon","21573","null","1995","null","56920","null","2551","null","92130","null","3488","null","143038","null","4307","null","280088","null","14111","null","463919","45916","null","null",
"0500000US41071","Yamhill County, Oregon","17015","null","3578","null","47887","null","4442","null","75746","null","5057","null","108776","null","6846","null","202345","null","19650","null","326669","56975","null","null",
"0500000US42001","Adams County, Pennsylvania","20487","null","2447","null","46747","null","3445","null","72761","null","4625","null","108574","null","6012","null","208419","null","19817","null","333204","59792","null","null",
"0500000US42003","Allegheny County, Pennsylvania","13255","null","785","null","39471","null","1110","null","69363","null","1549","null","111297","null","2162","null","253342","null","8069","null","453858","24202","null","null",
"0500000US42005","Armstrong County, Pennsylvania","14600","null","1591","null","34408","null","2675","null","55753","null","3504","null","85666","null","4445","null","173748","null","22092","null","295528","72058","null","null",
"0500000US42007","Beaver County, Pennsylvania","14823","null","1336","null","38203","null","3083","null","65557","null","3825","null","99132","null","4165","null","180891","null","12228","null","287714","36623","null","null",
"0500000US42011","Berks County, Pennsylvania","14428","null","1590","null","42007","null","2231","null","68764","null","2772","null","106063","null","4081","null","217612","null","9827","null","356013","28458","null","null",
